product_title,product_price,product_imageLink,product_hyperLink
"10 inch Tablet Android 10.0 OS, HD 800x1280 IPS Touchscreen, 2GB + 32GB Quad-Core CPU, 6000mAh Battery, Dual Camera Dual Speaker, WiFi Bluetooth Google GMS Certified, Portable Tablet PC - Black",105,https://m.media-amazon.com/images/I/71xdbXrPazS._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A06266481D13344YI4QBV&url=%2F800x1280-Touchscreen-Quad-Core-Bluetooth-Certified%2Fdp%2FB097CX76MB%2Fref%3Dsr_1_1_sspa%3Fqid%3D1637628889%26s%3Dcomputers-intl-ship%26sr%3D1-1-spons%26psc%3D1&qualifier=1637628889&id=8930213040858741&widgetName=sp_atf_browse
"TOPOSH 11.6 inch 2 in 1 Laptop Tablet Computer with Touch Screen, Intel Celeron Quad Core N4120 8GB RAM 256 GB SSD- Silver",447,https://m.media-amazon.com/images/I/71DkiXprgBS._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A06079421DTZYLR49B858&url=%2FTOPOSH-Laptop-Tablet-Computer-Celeron%2Fdp%2FB094D7XTTT%2Fref%3Dsr_1_2_sspa%3Fqid%3D1637628889%26s%3Dcomputers-intl-ship%26sr%3D1-2-spons%26psc%3D1&qualifier=1637628889&id=8930213040858741&widgetName=sp_atf_browse
"Tablet 10 inch - AAUB Octa-Core, 1280x800 10.1"" HD Touch Screen, Android 9 Google GMS Certified, 5MP + 13MP Dual Camera, 2 + 32GB Storage, 5G & 2.4G WiFi Bluetooth 5.0 GPS Smart PC 2021 New - Black",119,https://m.media-amazon.com/images/I/719-1piMiYL._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A042637170798BERKL6K&url=%2FTablet-inch-Octa-Core-Certified-Bluetooth%2Fdp%2FB097D5SKST%2Fref%3Dsr_1_3_sspa%3Fqid%3D1637628889%26s%3Dcomputers-intl-ship%26sr%3D1-3-spons%26psc%3D1&qualifier=1637628889&id=8930213040858741&widgetName=sp_atf_browse
"Lenovo Chromebook Flex 3 11"" Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 82HG0006US, Blizzard White",169,https://m.media-amazon.com/images/I/611DJR7V1sL._AC_UL320_.jpg,/Lenovo-Chromebook-11-6-Inch-Processor-82HG0006US/dp/B08T6N424Z/ref=sr_1_4?qid=1637628889&qsid=143-1457229-9423947&s=computers-intl-ship&sr=1-4&sres=B08T6N424Z%2CB07GM2J11Q%2CB08VKNVDDR%2CB094Q89NKH%2CB092YHJLS6%2CB08YKG5K7F%2CB086383HC7%2CB08FBN5STQ%2CB092YHJGMN%2CB08YKHGKTV%2CB07D3DDJ4L%2CB08QQTQNDC%2CB09FXFDGN3%2CB0996WCSND%2CB091D9652Z%2CB08XPC3WFQ%2CB074PWW6NS%2CB0776ZX8R1%2CB07G9QNT6P%2CB087YW8FQB
"Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 81HY0000US, Blizzard White",227,https://m.media-amazon.com/images/I/812MizmMvkL._AC_UL320_.jpg,/Lenovo-Chromebook-Convertible-11-6-Inch-81HY0000US/dp/B07GM2J11Q/ref=sr_1_5?qid=1637628889&qsid=143-1457229-9423947&s=computers-intl-ship&sr=1-5&sres=B08T6N424Z%2CB07GM2J11Q%2CB08VKNVDDR%2CB094Q89NKH%2CB092YHJLS6%2CB08YKG5K7F%2CB086383HC7%2CB08FBN5STQ%2CB092YHJGMN%2CB08YKHGKTV%2CB07D3DDJ4L%2CB08QQTQNDC%2CB09FXFDGN3%2CB0996WCSND%2CB091D9652Z%2CB08XPC3WFQ%2CB074PWW6NS%2CB0776ZX8R1%2CB07G9QNT6P%2CB087YW8FQB
"Acer Aspire 5 A515-46-R14K Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | Amazon Alexa | Windows 10 Home (S mode)",399,https://m.media-amazon.com/images/I/71+2H96GHZL._AC_UL320_.jpg,/Acer-A515-46-R14K-Quad-Core-Processor-Backlit/dp/B08VKNVDDR/ref=sr_1_6?qid=1637628889&qsid=143-1457229-9423947&s=computers-intl-ship&sr=1-6&sres=B08T6N424Z%2CB07GM2J11Q%2CB08VKNVDDR%2CB094Q89NKH%2CB092YHJLS6%2CB08YKG5K7F%2CB086383HC7%2CB08FBN5STQ%2CB092YHJGMN%2CB08YKHGKTV%2CB07D3DDJ4L%2CB08QQTQNDC%2CB09FXFDGN3%2CB0996WCSND%2CB091D9652Z%2CB08XPC3WFQ%2CB074PWW6NS%2CB0776ZX8R1%2CB07G9QNT6P%2CB087YW8FQB
"Samsung Tab A7 Lite 8.7"" Gray 32GB (SM-T220NZAAXAR)",119,https://m.media-amazon.com/images/I/819hAP4xoGS._AC_UL320_.jpg,/Samsung-Lite-Gray-32GB-SM-T220NZAAXAR/dp/B094Q89NKH/ref=sr_1_7?qid=1637628889&qsid=143-1457229-9423947&s=computers-intl-ship&sr=1-7&sres=B08T6N424Z%2CB07GM2J11Q%2CB08VKNVDDR%2CB094Q89NKH%2CB092YHJLS6%2CB08YKG5K7F%2CB086383HC7%2CB08FBN5STQ%2CB092YHJGMN%2CB08YKHGKTV%2CB07D3DDJ4L%2CB08QQTQNDC%2CB09FXFDGN3%2CB0996WCSND%2CB091D9652Z%2CB08XPC3WFQ%2CB074PWW6NS%2CB0776ZX8R1%2CB07G9QNT6P%2CB087YW8FQB
"Acer Predator Helios 300 PH315-54-760S Gaming Laptop | Intel i7-11800H | NVIDIA GeForce RTX 3060 Laptop GPU | 15.6"" Full HD 144Hz 3ms IPS Display | 16GB DDR4 | 512GB SSD | Killer WiFi 6 | RGB Keyboard","1,288",https://m.media-amazon.com/images/I/71Nly9vPapL._AC_UL320_.jpg,/Acer-Predator-PH315-54-760S-i7-11800H-Keyboard/dp/B092YHJLS6/ref=sr_1_8?qid=1637628889&qsid=143-1457229-9423947&s=computers-intl-ship&sr=1-8&sres=B08T6N424Z%2CB07GM2J11Q%2CB08VKNVDDR%2CB094Q89NKH%2CB092YHJLS6%2CB08YKG5K7F%2CB086383HC7%2CB08FBN5STQ%2CB092YHJGMN%2CB08YKHGKTV%2CB07D3DDJ4L%2CB08QQTQNDC%2CB09FXFDGN3%2CB0996WCSND%2CB091D9652Z%2CB08XPC3WFQ%2CB074PWW6NS%2CB0776ZX8R1%2CB07G9QNT6P%2CB087YW8FQB
"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 7 5800H Processor, 16GB DDR4 RAM, 512GB NVMe SSD, NVIDIA GeForce RTX 3050Ti, Windows 10H, 82JW0012US, Phantom Blue","1,049",https://m.media-amazon.com/images/I/71fzx0pGY5L._AC_UL320_.jpg,/Lenovo-Display-Processor-GeForce-82JW0012US/dp/B08YKG5K7F/ref=sr_1_9?qid=1637628889&qsid=143-1457229-9423947&s=computers-intl-ship&sr=1-9&sres=B08T6N424Z%2CB07GM2J11Q%2CB08VKNVDDR%2CB094Q89NKH%2CB092YHJLS6%2CB08YKG5K7F%2CB086383HC7%2CB08FBN5STQ%2CB092YHJGMN%2CB08YKHGKTV%2CB07D3DDJ4L%2CB08QQTQNDC%2CB09FXFDGN3%2CB0996WCSND%2CB091D9652Z%2CB08XPC3WFQ%2CB074PWW6NS%2CB0776ZX8R1%2CB07G9QNT6P%2CB087YW8FQB
"Lenovo Chromebook Flex 5 13"" Laptop, FHD (1920 x 1080) Touch Display, Intel Core i3-10110U Processor, 4GB DDR4 Onboard RAM, 64GB eMMC, Intel Integrated Graphics, Chrome OS, 82B80006UX, Graphite Grey",316,https://m.media-amazon.com/images/I/61qIQqN3blS._AC_UL320_.jpg,/Lenovo-Chromebook-i3-10110U-Integrated-82B80006UX/dp/B086383HC7/ref=sr_1_10?qid=1637628889&qsid=143-1457229-9423947&s=computers-intl-ship&sr=1-10&sres=B08T6N424Z%2CB07GM2J11Q%2CB08VKNVDDR%2CB094Q89NKH%2CB092YHJLS6%2CB08YKG5K7F%2CB086383HC7%2CB08FBN5STQ%2CB092YHJGMN%2CB08YKHGKTV%2CB07D3DDJ4L%2CB08QQTQNDC%2CB09FXFDGN3%2CB0996WCSND%2CB091D9652Z%2CB08XPC3WFQ%2CB074PWW6NS%2CB0776ZX8R1%2CB07G9QNT6P%2CB087YW8FQB
