product_title,product_price,product_imageLink,product_hyperLink
"LincPlus Schoolbook 14"" Laptop, Full HD 1920 x 1080 IPS Display, Intel Celeron N3350 Processor, 4GB RAM, 64GB eMMC Storage,Metal Body, Intel HD Graphics 500, Windows 10 Home in S Mode PC",265,https://m.media-amazon.com/images/I/712c4sMo0YL._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A08342075CEFSS786ZRQ&url=%2FLincPlus-Schoolbook-Display-Processor-Graphics%2Fdp%2FB091JW27QV%2Fref%3Dsr_1_1_sspa%3Fqid%3D1637629765%26rnid%3D13896617011%26s%3Dcomputers-intl-ship%26sr%3D1-1-spons%26psc%3D1&qualifier=1637629765&id=8932432692296106&widgetName=sp_atf_browse
Dell Latitude E6520 Intel i7-2720QM 2.20Ghz 8GB RAM 500GB HDD Win 10 Pro DVD-RW (Renewed),295,https://m.media-amazon.com/images/I/71eD2hUDXML._AC_UL320_.jpg,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers-intl-ship_sr_pg1_1?ie=UTF8&adId=A02552422840QN5LKV4KA&url=%2FDell-E6520-Performance-Ci7-2760QM-Refurbished%2Fdp%2FB07BFJ4H5C%2Fref%3Dsr_1_2_sspa%3Fqid%3D1637629765%26rnid%3D13896617011%26s%3Dcomputers-intl-ship%26sr%3D1-2-spons%26psc%3D1&qualifier=1637629765&id=8932432692296106&widgetName=sp_atf_browse
"Lenovo Chromebook Flex 3 11"" Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 82HG0006US, Blizzard White",169,https://m.media-amazon.com/images/I/611DJR7V1sL._AC_UL320_.jpg,/Lenovo-Chromebook-11-6-Inch-Processor-82HG0006US/dp/B08T6N424Z/ref=sr_1_3?qid=1637629765&rnid=13896617011&s=computers-intl-ship&sr=1-3
"Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 81HY0000US, Blizzard White",227,https://m.media-amazon.com/images/I/812MizmMvkL._AC_UL320_.jpg,/Lenovo-Chromebook-Convertible-11-6-Inch-81HY0000US/dp/B07GM2J11Q/ref=sr_1_4?qid=1637629765&rnid=13896617011&s=computers-intl-ship&sr=1-4
"Acer Aspire 5 A515-46-R14K Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | Amazon Alexa | Windows 10 Home (S mode)",399,https://m.media-amazon.com/images/I/71+2H96GHZL._AC_UL320_.jpg,/Acer-A515-46-R14K-Quad-Core-Processor-Backlit/dp/B08VKNVDDR/ref=sr_1_5?qid=1637629765&rnid=13896617011&s=computers-intl-ship&sr=1-5
"Acer Predator Helios 300 PH315-54-760S Gaming Laptop | Intel i7-11800H | NVIDIA GeForce RTX 3060 Laptop GPU | 15.6"" Full HD 144Hz 3ms IPS Display | 16GB DDR4 | 512GB SSD | Killer WiFi 6 | RGB Keyboard","1,288",https://m.media-amazon.com/images/I/71Nly9vPapL._AC_UL320_.jpg,/Acer-Predator-PH315-54-760S-i7-11800H-Keyboard/dp/B092YHJLS6/ref=sr_1_6?qid=1637629765&rnid=13896617011&s=computers-intl-ship&sr=1-6
"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 7 5800H Processor, 16GB DDR4 RAM, 512GB NVMe SSD, NVIDIA GeForce RTX 3050Ti, Windows 10H, 82JW0012US, Phantom Blue","1,049",https://m.media-amazon.com/images/I/71fzx0pGY5L._AC_UL320_.jpg,/Lenovo-Display-Processor-GeForce-82JW0012US/dp/B08YKG5K7F/ref=sr_1_7?qid=1637629765&rnid=13896617011&s=computers-intl-ship&sr=1-7
"Lenovo Chromebook Flex 5 13"" Laptop, FHD (1920 x 1080) Touch Display, Intel Core i3-10110U Processor, 4GB DDR4 Onboard RAM, 64GB eMMC, Intel Integrated Graphics, Chrome OS, 82B80006UX, Graphite Grey",316,https://m.media-amazon.com/images/I/61qIQqN3blS._AC_UL320_.jpg,/Lenovo-Chromebook-i3-10110U-Integrated-82B80006UX/dp/B086383HC7/ref=sr_1_8?qid=1637629765&rnid=13896617011&s=computers-intl-ship&sr=1-8
"Acer Nitro 5 AN515-55-53E5 Gaming Laptop | Intel Core i5-10300H | NVIDIA GeForce RTX 3050 Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 256GB NVMe SSD | Intel Wi-Fi 6 | Backlit Keyboard",809,https://m.media-amazon.com/images/I/71m03KItMZL._AC_UL320_.jpg,/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN/ref=sr_1_9?qid=1637629765&rnid=13896617011&s=computers-intl-ship&sr=1-9
"Lenovo IdeaPad Gaming 3 15 15.6"" Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 5 5600H Processor, NVIDIA GeForce GTX 1650, 8GB DDR4 RAM, 256GB SSD Storage, Windows 10H, 82K20015US, Shadow Black",679,https://m.media-amazon.com/images/I/71lNj3046jL._AC_UL320_.jpg,/Lenovo-IdeaPad-Display-Processor-82K20015US/dp/B08YKHGKTV/ref=sr_1_10?qid=1637629765&rnid=13896617011&s=computers-intl-ship&sr=1-10
